time,voltage,temperature,current,capacity,qMax
159490.0,4.230602818108194,20.512366568436903,-1.3056,4624.326399999347,5521.116736004588
159500.0,4.231074402442374,20.505280931829475,-1.3016,4637.358399999346,5520.98641600459
159510.0,4.231512546434468,20.498203615139232,-1.2976,4650.350399999346,5520.856496004591
159520.0,4.231916499519804,20.491132831975335,-1.2936,4663.302399999346,5520.72697600459
159530.0,4.232285611331822,20.484067013041,-1.2896,4676.214399999347,5520.597856004589
159540.0,4.232619329010918,20.47700478477941,-1.2856,4689.086399999347,5520.469136004589
159550.0,4.232917194321829,20.4699449500759,-1.2816,4701.9183999993475,5520.34081600459
159560.0,4.2331788406084065,20.462886470818546,-1.2776,4714.710399999346,5520.21289600459
159570.0,4.233403989612403,20.455828452139542,-1.2736,4727.462399999346,5520.085376004589
159580.0,4.233592448180808,20.448770128174033,-1.2696,4740.174399999348,5519.958256004588
159590.0,4.2337441048842654,20.441710849192305,-1.2656,4752.846399999348,5519.83153600459
159600.0,4.233858926567347,20.434650069972065,-1.2616,4765.478399999348,5519.7052160045905
159610.0,4.233936954849618,20.427587339292586,-1.2576,4778.070399999348,5519.57929600459
159620.0,4.233978302594892,20.420522290441966,-1.2536,4790.622399999348,5519.453776004589
159630.0,4.233983150364517,20.41345463264105,-1.2496,4803.134399999349,5519.328656004589
159640.0,4.233951742869099,20.406384143295156,-1.2456,4815.606399999348,5519.20393600459
159650.0,4.2338843854317805,20.399310660994956,-1.2416,4828.038399999347,5519.07961600459
159660.0,4.233781440474871,20.392234079193486,-1.2376,4840.430399999347,5518.955696004589
159670.0,4.233643324040545,20.385154340495262,-1.2336,4852.782399999347,5518.832176004588
159680.0,4.233470502355158,20.378071431497744,-1.2296,4865.094399999347,5518.70905600459
159690.0,4.233263488445768,20.37098537813347,-1.2256,4877.366399999347,5518.5863360045905
159700.0,4.233022838816457,20.36389624146284,-1.2216,4889.598399999346,5518.46401600459
159710.0,4.232749150191226,20.356804113876308,-1.2176,4901.790399999346,5518.342096004589
159720.0,4.232443056329322,20.349709115664723,-1.2136,4913.942399999346,5518.220576004589
159730.0,4.232105224918188,20.34261139192415,-1.2096,4926.054399999346,5518.09945600459
159740.0,4.231736354548459,20.335511109761683,-1.2056,4938.126399999346,5517.97873600459
159750.0,4.231337171774775,20.32840845577408,-1.2016,4950.158399999347,5517.858416004589
159760.0,4.230908428265596,20.321303633772743,-1.1976,4962.150399999347,5517.738496004588
159770.0,4.230450898044613,20.314196862731308,-1.1936,4974.102399999348,5517.61897600459
159780.0,4.22996537482586,20.307088374934835,-1.1896,4986.014399999347,5517.499856004591
159790.0,4.2294526694441,20.29997841431043,-1.1856,4997.886399999348,5517.38113600459
159800.0,4.228913607381695,20.292867234922596,-1.1816,5009.718399999348,5517.262816004589
159810.0,4.228349026392685,20.285755099617347,-1.1776,5021.510399999346,5517.144896004589
159820.0,4.227759774224476,20.27864227880025,-1.1736,5033.262399999347,5517.02737600459
159830.0,4.227146706437193,20.271529049336266,-1.1696,5044.974399999348,5516.91025600459
159840.0,4.226510684320422,20.26441569355893,-1.1656,5056.646399999348,5516.793536004589
159850.0,4.225852572906831,20.25730249837875,-1.1616,5068.278399999349,5516.677216004588
159860.0,4.2251732390818315,20.250189754481426,-1.1576,5079.870399999349,5516.56129600459
159870.0,4.224473549788281,20.24307775560709,-1.1536,5091.422399999349,5516.445776004591
159880.0,4.2237543703249925,20.235966797901824,-1.1496,5102.934399999347,5516.33065600459
159890.0,4.223016562737606,20.228857179336615,-1.1456,5114.406399999348,5516.215936004589
159900.0,4.2222609843002825,20.221749199185012,-1.1416,5125.8383999993475,5516.101616004589
159910.0,4.221488486086426,20.21464315755503,-1.1376,5137.230399999348,5515.98769600459
159920.0,4.22069991162664,20.207539354970038,-1.1336,5148.582399999349,5515.8741760045905
159930.0,4.2198960956518805,20.200438091993362,-1.1296,5159.894399999349,5515.76105600459
